1949,Founding of the People's Republic of China
1972,Nixon visits China
1976,Mao Zedong dies
1979,Diplomatic relations established between US and China
1979,"""One-child policy"" introduced"
1989,Tiananmen Square protests
2000,Government consolidates internet regulations in China
2003,China launches its first manned spacecraft
2007,"Reports that China carries out missile test in space, shooting down an old weather satellite"
2007,China launches its first moon orbiter
2008,Summer Olympics held in Beijing
2010,China becomes world's second-largest economy
2013,"Communist party announces plans to relax the ""one-child"" policy"
2013,China lans a roboti rover on the moon
2015,"Communist party announces the end of the ""one-child"" policy"
